GSM2233972	GSM2233976	GSM2233978	GSM2233982	GSM2233983	GSM2233984	GSM2233985	GSM2233987	GSM2233988	GSM2233990	GSM2233991	GSM2233992	GSM2233993	GSM2233994	GSM2233995	GSM2233997	GSM2234002	GSM2234007	GSM2234010	GSM2234012
RPS17	10.1552265840541	10.7724341481728	10.5742881812159	10.3142847091372	10.7149805119419	10.9715432648142	10.691070887252	10.4591692236492	11.168227086898	10.5009891800463	10.7353241099367	10.1117059334569	10.586125817782	10.8434668097964	10.5031839142531	10.3938186631178	10.3636311058674	10.7454263948852	10.6377994660326	10.8458630252644
OAZ1	10.8525673373136	10.3049390084408	10.9287332889878	10.1752003314969	10.7398119954175	10.6901152559553	10.5463997404842	10.9886563090574	10.5252158304775	11.117198048816	9.83961237091741	11.0194633188691	11.000413794291	10.5981471742813	10.1103131439448	10.7470561973562	11.1467051852636	10.4035794756875	10.5886978233956	9.66726640525635
PEA15	11.0544069459247	10.4363123567661	10.66365105575	10.5081005851589	10.8710242854647	10.6557279376958	9.97932543144732	10.9480627091549	10.857237465377	10.8842181257222	10.1895697386132	11.0638037998125	10.9345109800447	10.7361584625087	10.2010289129961	10.6109644065505	11.1453081926521	10.5332475235802	10.9205029772683	10.2733094571702
RPL24	10.2357151407145	10.8444455252633	10.7539397535518	10.3247675362548	10.7378849932085	10.8738576674492	11.0185984314692	10.5977918334677	11.0458815688047	10.7247818251206	10.7242384386464	10.2120926629221	10.8100215677363	10.9553508684092	10.6323391643286	10.4760855819075	10.7563164249062	10.6878599145211	10.7166900300619	10.7486253571375
BASP1	10.6228783715116	10.7076415597482	10.9802321880392	10.7027126016663	10.4908072937438	9.88631596678879	10.6927240684216	10.8021834066351	9.65635222577977	10.9253547715528	10.7595478496956	10.9505484886744	10.8189861416793	10.5807897807701	10.4174817611236	10.9246338070456	11.0405174176308	10.5563634470423	10.7435356180209	9.8973515364394
SRP14	10.2749715835275	10.4521297201838	10.7414993690182	10.5648895885269	10.4423265886625	10.3161170953241	10.7238261630357	10.614808104457	11.2302739965403	10.5996836073877	10.3556237155105	10.4886334067628	10.6025083997113	10.9020422346182	9.96904794297621	10.5309124719519	10.6350126859723	10.5215519533314	10.7822138401944	10.261393867462
GJA1	10.8920607462849	11.0878333369372	10.4864870991378	10.9677746421228	11.2157789201884	10.9533748401807	9.63043357645786	10.0737688053425	12.1908005317124	10.2105373731183	10.6543091618479	10.3267067094435	10.6419420756595	11.0066826047842	11.1743453103951	10.9688425444079	10.1382645362773	11.2881035200798	11.4478915102657	10.808054698666
MLLT11	10.7263358143567	11.2289923842616	11.1857217734643	10.5664399987585	10.4019804185206	9.62434023281657	10.7624888747489	10.7922188798394	9.22725261384325	11.2681618633223	11.1232146830438	11.075928038971	10.9086413849883	10.9913302633013	10.1669674777147	10.9455062335145	11.2982357364212	10.6497355751917	10.9985279189016	9.98814750170877
RPS12	10.7719299169113	10.5598356734407	10.5927841859017	10.5384423042097	10.8611331770515	10.8511452470916	11.3499276232196	10.0343567731958	11.5981054617061	10.4080007357987	10.6656674632315	10.1342398574506	11.0788215862929	11.2501068977452	10.4406370230208	10.1750591628343	10.4506118925213	10.7276577929397	10.734055945509	11.1592095346782
TMSB4X	10.2557500453632	11.1624701275913	10.8492311563519	10.0488271717582	10.342006823824	10.8890468995213	9.8448983785342	10.5981389339364	10.8834852563232	10.8019529242636	10.8928238022674	10.3004308589747	10.8582574015508	11.4013757846964	10.0589002695324	9.89883163420924	10.7479913197437	10.3649162196352	10.9742664309591	10.5371174695948
