Sample	Region	Class
GSM2233599	NUA	AD
GSM2233600	NUA	AD
GSM2233602	NUA	AD
GSM2233603	NUA	AD
GSM2233604	NUA	AD
GSM2233606	NUA	AD
GSM2233607	NUA	AD
GSM2233614	NUA	AD
GSM3332689	TC	AD
GSM3332690	CR	AD
GSM3332691	FC	AD
GSM3332692	EC	AD
GSM3332700	EC	AD
GSM3332707	EC	AD
GSM3332708	FC	AD
GSM3332709	TC	AD
GSM3332710	EC	AD
GSM3332711	FC	AD
GSM3332712	CR	AD
GSM3332713	TC	AD
GSM3332714	FC	AD
GSM3332715	TC	AD
GSM3332716	EC	AD
GSM3332717	EC	AD
GSM3332718	CR	AD
GSM3332719	FC	AD
GSM3332720	EC	AD
GSM3332721	TC	AD
GSM3332722	FC	AD
GSM3332723	CR	AD
GSM3332724	EC	AD
GSM3332725	FC	AD
GSM3332726	TC	AD
GSM3332727	FC	AD
GSM3332728	CR	AD
GSM3332729	TC	AD
GSM3332730	EC	AD
GSM3332731	EC	AD
GSM3332732	FC	AD
GSM3332733	TC	AD
GSM3332734	CR	AD
GSM3332735	TC	AD
GSM3332736	CR	AD
GSM3332737	TC	AD
GSM3332744	FC	AD
GSM3332745	TC	AD
GSM3332746	CR	AD
GSM3332747	EC	AD
GSM3332748	FC	AD
GSM3332749	CR	AD
GSM3332750	EC	AD
GSM3332751	EC	AD
GSM3332752	TC	AD
GSM3332764	EC	AD
GSM3332765	TC	AD
GSM3332766	TC	AD
GSM3332767	FC	AD
GSM3332768	CR	AD
GSM3332769	TC	AD
GSM3332770	FC	AD
GSM3332771	EC	AD
GSM3332772	CR	AD
GSM3332773	TC	AD
GSM3332774	FC	AD
GSM3332775	TC	AD
GSM3332776	CR	AD
GSM3332777	CR	AD
GSM3332778	EC	AD
GSM3332779	TC	AD
GSM3332780	CR	AD
GSM3332781	FC	AD
GSM3332783	EC	AD
GSM3332784	FC	AD
GSM3332785	CR	AD
GSM3332786	FC	AD
GSM3332787	CR	AD
GSM3332788	EC	AD
GSM3332789	TC	AD
GSM3332790	TC	AD
GSM3332791	FC	AD
GSM3332792	EC	AD
GSM3332793	CR	AD
GSM3332794	TC	AD
GSM3332795	EC	AD
GSM3332801	FC	AD
GSM3332802	TC	AD
GSM3332803	EC	AD
GSM3332804	CR	AD
GSM3332805	TC	AD
GSM3332806	FC	AD
GSM3332807	TC	AD
GSM3332808	CR	AD
GSM3332809	FC	AD
GSM3332810	TC	AD
GSM3332812	EC	AD
GSM3332813	FC	AD
GSM3332814	TC	AD
GSM3332815	CR	AD
GSM3332816	CR	AD
GSM3332817	EC	AD
GSM3332818	FC	AD
GSM3332819	TC	AD
GSM3332824	TC	AD
GSM3332825	EC	AD
GSM3332826	CR	AD
GSM3332827	FC	AD
GSM3332836	EC	AD
GSM3332837	FC	AD
GSM3332838	EC	AD
GSM3332839	EC	AD
GSM3332840	EC	AD
GSM3332841	TC	AD
GSM3332842	FC	AD
GSM3332844	CR	AD
GSM3332845	FC	AD
GSM3332846	TC	AD
GSM3332847	CR	AD
GSM3332848	EC	AD
GSM3332849	TC	AD
GSM3332850	FC	AD
GSM3332851	EC	AD
GSM3332852	EC	AD
GSM3332853	CR	AD
