TF	target	score	module
DYRK1A	YY1	1	AC-AD-7
E2F2	ASXL1	1	AC-AD-7
E2F2	FEZ2	1	AC-AD-7
E2F2	GNB2	1	AC-AD-7
E2F2	HADHA	1	AC-AD-7
E2F2	HMGB1	1	AC-AD-7
E2F2	HYAL2	1	AC-AD-7
E2F2	KPNB1	1	AC-AD-7
E2F2	LRRC41	1	AC-AD-7
E2F2	NKTR	1	AC-AD-7
E2F2	PCBP2	1	AC-AD-7
E2F2	PRKCI	1	AC-AD-7
E2F2	RC3H2	1	AC-AD-7
E2F2	RIN1	1	AC-AD-7
E2F2	SH2B1	1	AC-AD-7
E2F2	SLC2A8	1	AC-AD-7
E2F2	SLC9A1	1	AC-AD-7
E2F2	SLCO2B1	1	AC-AD-7
E2F2	SPAG9	1	AC-AD-7
E2F2	TNPO2	1	AC-AD-7
E2F2	TNRC6B	1	AC-AD-7
E2F2	VASP	1	AC-AD-7
E2F5	BRD4	1	AC-AD-7
E2F5	BSG	1	AC-AD-7
E2F5	CCDC71	1	AC-AD-7
E2F5	CHD4	1	AC-AD-7
E2F5	CRADD	1	AC-AD-7
E2F5	DEDD	1	AC-AD-7
E2F5	DLGAP4	1	AC-AD-7
E2F5	HMGB1	1	AC-AD-7
E2F5	HNRNPU	1	AC-AD-7
E2F5	KCNB1	1	AC-AD-7
E2F5	MAT2A	1	AC-AD-7
E2F5	MAX	1	AC-AD-7
E2F5	PTP4A3	1	AC-AD-7
E2F5	RHOBTB3	1	AC-AD-7
E2F5	RNF167	1	AC-AD-7
E2F5	SEC14L1	1	AC-AD-7
E2F5	STAT5B	1	AC-AD-7
E2F5	TCF4	1	AC-AD-7
E2F5	TFDP1	1	AC-AD-7
E2F5	TNRC6B	1	AC-AD-7
E2F5	UBE2G2	1	AC-AD-7
E2F5	UNC13A	1	AC-AD-7
E2F5	WNK1	1	AC-AD-7
E2F5	WWP1	1	AC-AD-7
E2F5	ZNF331	1	AC-AD-7
EGFR	JUNB	1	AC-AD-7
ELF2	ABT1	1	AC-AD-7
ELF2	AIP	1	AC-AD-7
ELF2	AP2B1	1	AC-AD-7
ELF2	CCDC71	1	AC-AD-7
ELF2	COX7A2	1	AC-AD-7
ELF2	CRADD	1	AC-AD-7
ELF2	DEDD	1	AC-AD-7
ELF2	EPN1	1	AC-AD-7
ELF2	FIG4	1	AC-AD-7
ELF2	GOLGA3	1	AC-AD-7
ELF2	HIPK1	1	AC-AD-7
ELF2	HMGB1	1	AC-AD-7
ELF2	KIF3B	1	AC-AD-7
ELF2	LRRC41	1	AC-AD-7
ELF2	MAP3K7	1	AC-AD-7
ELF2	MRPL33	1	AC-AD-7
ELF2	MRPL46	1	AC-AD-7
ELF2	PCBP2	1	AC-AD-7
ELF2	PICK1	1	AC-AD-7
ELF2	PTPN11	1	AC-AD-7
ELF2	RIN1	1	AC-AD-7
ELF2	SH2B1	1	AC-AD-7
ELF2	STX16	1	AC-AD-7
ELF2	VASP	1	AC-AD-7
ELF2	ZNF292	1	AC-AD-7
ELF5	CHN2	1	AC-AD-7
ELF5	IPO8	1	AC-AD-7
ELF5	KIF3B	1	AC-AD-7
ELF5	PTPN11	1	AC-AD-7
ELF5	STX16	1	AC-AD-7
EMX1	DLG1	1	AC-AD-7
EMX1	DNAJB14	1	AC-AD-7
EMX1	FEZ2	1	AC-AD-7
EMX1	LRRC41	1	AC-AD-7
EMX1	PRKCI	1	AC-AD-7
EWSR1	AAAS	1	AC-AD-7
EWSR1	ASXL1	1	AC-AD-7
EWSR1	ATF6	1	AC-AD-7
EWSR1	CALM1	1	AC-AD-7
EWSR1	CRBN	1	AC-AD-7
EWSR1	DNAJB14	1	AC-AD-7
EWSR1	FEZ2	1	AC-AD-7
EWSR1	GLUL	1	AC-AD-7
EWSR1	HIPK1	1	AC-AD-7
EWSR1	LRRC41	1	AC-AD-7
EWSR1	MAP3K7	1	AC-AD-7
EWSR1	NOL9	1	AC-AD-7
EWSR1	SH2B1	1	AC-AD-7
EWSR1	SLC9A1	1	AC-AD-7
EWSR1	ZNF212	1	AC-AD-7
F10	GLUL	1	AC-AD-7
F10	NCAM1	1	AC-AD-7
F10	RHOBTB3	1	AC-AD-7
F10	TRAM1	1	AC-AD-7
FEV	ABT1	1	AC-AD-7
FEV	ALAD	1	AC-AD-7
FEV	ASRGL1	1	AC-AD-7
FEV	CALM1	1	AC-AD-7
FEV	CCT8	1	AC-AD-7
FEV	GOLGA2	1	AC-AD-7
FEV	HSP90B1	1	AC-AD-7
FEV	JUNB	1	AC-AD-7
FEV	KIF5B	1	AC-AD-7
FEV	KLF6	1	AC-AD-7
FEV	LRRC41	1	AC-AD-7
FEV	PCBP2	1	AC-AD-7
FEV	PURA	1	AC-AD-7
FEV	SCARB2	1	AC-AD-7
FEV	SEC14L1	1	AC-AD-7
FEV	SH2B1	1	AC-AD-7
FEV	TNPO2	1	AC-AD-7
FEV	TNRC6B	1	AC-AD-7
FEV	TRAM1	1	AC-AD-7
FEV	TTLL12	1	AC-AD-7
FEV	TXNIP	1	AC-AD-7
FEV	UGCG	1	AC-AD-7
